SITE_ID,SITE_NAME,AREA_NAME_SUB_DISTRICT,X_LONGITUDE,Y_LATITUDE,CITY_OR_DATI_II,AREA,BRANCH,PROVINCE,REGION,SITE_OWNERSHIP,TOWER_OWNERSHIP,COLOCATION_Y_OR_N,SITE_TYPE_GF_OR_RT_OR_MICROCELL_OR_INDOOR,HEIGHT_EXISTING_BUILDING_M,HEIGHT_TOWER_M,BTS_COVERAGE_TYPE_MACRO_OR_MICRO_OR_IBS
02PMR0011,TIGA_RUNGGU_TB,PURBA,98.72151,2.89782,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,TBG,TBG,Y,GF,,70,MACRO
02PMR0012,SPRAYA_HULUAN_EP,RAYA,98.75983,2.90464,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,EMA,EMA,Y,GF,,70,MACRO
02PMR0013,PARBUNGAAN_PARIK_SABUNGAN_PL,DOLOK PARDAMEAN,98.7705,2.8238,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,PROTELINDO,PROTELINDO,Y,GF,,60,MACRO
02PMR0015,TIGARAS_TB,DOLOK PARDAMEAN,98.79065,2.81611,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,TBG,TBG,Y,GF,,72,MACRO
02PMR0016,RAYA_SIMALUNGUN_TB,RAYA,98.7995,2.93881,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,TBG,TBG,Y,GF,,72,MACRO
02PMR0017,SIBUNTUAN_TB,DOLOK PARDAMEAN,98.83172,2.84961,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,TBG,TBG,Y,GF,,72,MACRO
02PMR0018,PEMATANG_RAYA_MT,RAYA,98.84961,2.96953,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,DMT,DMT,Y,GF,,70,MACRO
02PMR0019,PEMATANG_SIDAMANIK_EP,PAMATANG SIDAMANIK,98.85483,2.83081,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,EMA,EMA,Y,GF,,70,MACRO
02PMR0020,PEMKAB_PMR_MT,RAYA,98.86063,2.9682,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,DMT,DMT,Y,GF,,42,MACRO
02PMR0021,SIMANTIN_SIMALUNGUN_PL,PAMATANG SIDAMANIK,98.87053,2.84418,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,PROTELINDO,PROTELINDO,Y,GF,,52,MACRO
02PMR0022,DAME_RAYA_MT,RAYA,98.87863,2.95225,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,DMT,DMT,Y,GF,,72,MACRO
02PMR0023,SIHUBURAYA_SIMALUNGUN_TB,RAYA,98.88886,2.94481,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,TBG,TBG,Y,GF,,52,MACRO
